object_name    obs_date             freq  file_name                             comment
J1044-2214     2014-01-27     7624000000  J1044-2214_X_2014_01_27_pet_map.fits  distance = 5.1
J0516-4251     2014-02-23     7624000000  J0516-4251_X_2014_02_23_pet_map.fits  distance = 9.9
J0516-4251     2016-06-28     7624000000  J0516-4251_X_2016_06_28_pet_map.fits  distance = 107.2
J0523+1146     2021-09-27     7616000000  J0523+1146_X_2021_09_27_pet_map.fits  distance = 5.0
J0110-3651     2014-02-23     7624000000  J0110-3651_X_2014_02_23_pet_map.fits  distance = 12.2
J0354+7254     2016-01-07(2)  7624000000  J0354+7254_X_2016_01_07_pet_map.fits  distance = 6.1
J1603+1711     2002-01-31     8645724375  J1603+1711_X_2002_01_31_yyk_map.fits  distance = 43.9
J1005-3028     2022-11-22     7616000000  J1005-3028_X_2022_11_22_pet_map.fits  distance = 7.6
J1318-1307     2022-07-26     7616000000  J1318-1307_X_2022_07_26_pet_map.fits  distance = 7.2
J1138-2502     2015-10-12     7624000000  J1138-2502_X_2015_10_12_pet_map.fits  distance = 4.1
J1818-1108     2017-03-27     8667875000  J1818-1108_X_2017_03_27_pus_map.fits  distance = 8.1
J0221+2809     2014-01-29     7624000000  J0221+2809_X_2014_01_29_pet_map.fits  distance = 51.2
J0221+2809     2018-07-21(3)  8652000000  J0221+2809_X_2018_07_21_pet_map.fits  distance = 26.0
J2016-3041     2011-08-02(2)  8354990000  J2016-3041_X_2011_08_02_pet_map.fits  distance = 4.1
J1935-2731     2020-10-04     7624000000  J1935-2731_X_2020_10_04_pet_map.fits  distance = 4.1
J0515-1338     2020-11-13     7624000000  J0515-1338_X_2020_11_13_pet_map.fits  distance = 4.5
J1908-0126     2018-12-01     7624000000  J1908-0126_X_2018_12_01_pet_map.fits  distance = 14.1
J1620+8109     2020-03-16     8652000000  J1620+8109_X_2020_03_16_pet_map.fits  distance = 7.2
J0437-3930     2016-07-28     7624000000  J0437-3930_X_2016_07_28_pet_map.fits  distance = 6.4
J2029-3543     2019-07-27     7624000000  J2029-3543_X_2019_07_27_pet_map.fits  distance = 8.2
J1800+7828     2012-09-11     8313865000  J1800+7828_X_2012_09_11_pet_map.fits  distance = 16.6
